SampleID,Type,Location ,Treatment ,Location_Treatment,Soil_Horizon,Treatment_Location_Horizon,Treatment_Horizon,Sample_within_site,Season
DNA_2_22,Soil,Site4,Treatment ,Treatment_Site4,Upper Forest Floor,Treatment_Site4_Upper Forest Floor,Treatment  Upper Forest Floor,Sample2,Summer
DNA_2_23,Soil,Site4,Treatment ,Treatment_Site4,Lower Forest Floor ,Treatment_Site4_Lower Forest Floor,Treatment  Lower Forest Floor ,Sample2,Summer
DNA_2_24,Soil,Site4,Treatment ,Treatment_Site4,Upper B Horizon,Treatment_Site4_Upper B Horizon,Treatment  Upper B Horizon,Sample2,Summer
DNA_2_25,Soil,Site5,Treatment ,Treatment_Site5,Upper Forest Floor,Treatment_Site5_Upper Forest Floor,Treatment  Upper Forest Floor,Sample1,Summer
DNA_2_26,Soil,Site5,Treatment ,Treatment_Site5,Lower Forest Floor ,Treatment_Site5_Lower Forest Floor,Treatment  Lower Forest Floor ,Sample1,Summer
DNA_2_27,Soil,Site5,Treatment ,Treatment_Site5,Upper B Horizon,Treatment_Site5_Upper B Horizon,Treatment  Upper B Horizon,Sample1,Summer
DNA_2_28,Soil,Site5,Treatment ,Treatment_Site5,Upper Forest Floor,Treatment_Site5_Upper Forest Floor,Treatment  Upper Forest Floor,Sample2,Summer
DNA_2_29,Soil,Site5,Treatment ,Treatment_Site5,Lower Forest Floor ,Treatment_Site5_Lower Forest Floor,Treatment  Lower Forest Floor ,Sample2,Summer
DNA_2_30,Soil,Site5,Treatment ,Treatment_Site5,Upper B Horizon,Treatment_Site5_Upper B Horizon,Treatment  Upper B Horizon,Sample2,Summer
DNA_2_31,Soil,Site1,Control,Control_Site1,Upper Forest Floor,Control_Site1_Upper Forest Floor,Control Upper Forest Floor,Sample1,Summer
DNA_2_32,Soil,Site1,Control,Control_Site1,Lower Forest Floor ,Control_Site1_Lower Forest Floor,Control Lower Forest Floor ,Sample1,Summer
DNA_2_33,Soil,Site1,Control,Control_Site1,Upper B Horizon,Control_Site1_Upper B Horizon,Control Upper B Horizon,Sample1,Summer
DNA_2_34,Soil,Site1,Control,Control_Site1,Upper Forest Floor,Control_Site1_Upper Forest Floor,Control Upper Forest Floor,Sample2,Summer
DNA_2_35,Soil,Site1,Control,Control_Site1,Lower Forest Floor ,Control_Site1_Lower Forest Floor,Control Lower Forest Floor ,Sample2,Summer
DNA_2_36,Soil,Site1,Control,Control_Site1,Upper B Horizon,Control_Site1_Upper B Horizon,Control Upper B Horizon,Sample2,Summer
DNA_2_37,Soil,Site2,Control,Control_Site2,Upper Forest Floor,Control_Site2_Upper Forest Floor,Control Upper Forest Floor,Sample1,Summer
DNA_2_38,Soil,Site2,Control,Control_Site2,Lower Forest Floor ,Control_Site2_Lower Forest Floor,Control Lower Forest Floor ,Sample1,Summer
DNA_2_39,Soil,Site2,Control,Control_Site2,Upper B Horizon,Control_Site2_Upper B Horizon,Control Upper B Horizon,Sample1,Summer
DNA_2_40,Soil,Site2,Control,Control_Site2,Upper Forest Floor,Control_Site2_Upper Forest Floor,Control Upper Forest Floor,Sample2,Summer
DNA_2_41,Soil,Site2,Control,Control_Site2,Lower Forest Floor ,Control_Site2_Lower Forest Floor,Control Lower Forest Floor ,Sample2,Summer
DNA_2_42,Soil,Site2,Control,Control_Site2,Upper B Horizon,Control_Site2_Upper B Horizon,Control Upper B Horizon,Sample2,Summer
DNA_2_43,Soil,Site2,Control,Control_Site2,Upper Forest Floor,Control_Site2_Upper Forest Floor,Control Upper Forest Floor,Sample3,Summer
DNA_2_44,Soil,Site2,Control,Control_Site2,Lower Forest Floor ,Control_Site2_Lower Forest Floor,Control Lower Forest Floor ,Sample3,Summer
DNA_2_45,Soil,Site2,Control,Control_Site2,Upper B Horizon,Control_Site2_Upper B Horizon,Control Upper B Horizon,Sample3,Summer
DNA_2_46,Soil,Site3,Control,Control_Site3,Upper Forest Floor,Control_Site3_Upper Forest Floor,Control Upper Forest Floor,Sample1,Summer
DNA_2_47,Soil,Site3,Control,Control_Site3,Lower Forest Floor ,Control_Site3_Lower Forest Floor,Control Lower Forest Floor ,Sample1,Summer
DNA_2_48,Soil,Site3,Control,Control_Site3,Upper B Horizon,Control_Site3_Upper B Horizon,Control Upper B Horizon,Sample1,Summer
DNA_2_49,Soil,Site3,Control,Control_Site3,Upper Forest Floor,Control_Site3_Upper Forest Floor,Control Upper Forest Floor,Sample2,Summer
DNA_2_50,Soil,Site3,Control,Control_Site3,Lower Forest Floor ,Control_Site3_Lower Forest Floor,Control Lower Forest Floor ,Sample2,Summer
DNA_2_51,Soil,Site3,Control,Control_Site3,Upper B Horizon,Control_Site3_Upper B Horizon,Control Upper B Horizon,Sample2,Summer
DNA_2_52,Soil,Site3,Control,Control_Site3,Upper Forest Floor,Control_Site3_Upper Forest Floor,Control Upper Forest Floor,Sample3,Summer
DNA_2_53,Soil,Site3,Control,Control_Site3,Lower Forest Floor ,Control_Site3_Lower Forest Floor,Control Lower Forest Floor ,Sample3,Summer
DNA_2_54,Soil,Site3,Control,Control_Site3,Upper B Horizon,Control_Site3_Upper B Horizon,Control Upper B Horizon,Sample3,Summer
DNA_2_55,Soil,Site4,Control,Control_Site4,Upper Forest Floor,Control_Site4_Upper Forest Floor,Control Upper Forest Floor,Sample1,Summer
DNA_2_56,Soil,Site4,Control,Control_Site4,Lower Forest Floor ,Control_Site4_Lower Forest Floor,Control Lower Forest Floor ,Sample1,Summer
