"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"121"," g__mle1-27",Inf,TRUE,TRUE,TRUE,TRUE
"122"," g__Pajaroellobacter",65,FALSE,FALSE,FALSE,FALSE
"123"," g__BIrii41",Inf,TRUE,TRUE,TRUE,TRUE
"124"," g__Phaselicystis",Inf,TRUE,TRUE,TRUE,TRUE
"125"," o__Polyangiales",Inf,TRUE,TRUE,TRUE,TRUE
"126"," f__Polyangiaceae",39,FALSE,FALSE,FALSE,FALSE
"127"," f__Sandaracinaceae",Inf,TRUE,TRUE,TRUE,TRUE
"128"," g__Sandaracinus",Inf,TRUE,TRUE,TRUE,TRUE
"129"," g__RCP2-54",42,FALSE,FALSE,FALSE,FALSE
"130"," p__Desulfobacterota",Inf,TRUE,TRUE,TRUE,TRUE
"131"," g__PB19",Inf,TRUE,TRUE,TRUE,TRUE
"132"," g__OM27_clade",Inf,TRUE,TRUE,TRUE,TRUE
"133"," g__0319-6G20",80,FALSE,FALSE,FALSE,FALSE
"134"," g__Bdellovibrio",54,FALSE,FALSE,FALSE,FALSE
"135"," g__Silvanigrella",67,FALSE,FALSE,FALSE,FALSE
"136"," g__Oligoflexus",Inf,TRUE,TRUE,TRUE,TRUE
"137"," g__UBA12409",74,FALSE,FALSE,FALSE,FALSE
"138"," g__Vermiphilaceae",48,FALSE,FALSE,FALSE,FALSE
"139"," g__Babeliales",74,FALSE,FALSE,FALSE,FALSE
"140"," g__Nocardioides",Inf,TRUE,TRUE,TRUE,TRUE
"141"," g__Ilumatobacter",Inf,TRUE,TRUE,TRUE,TRUE
"142"," g__CL500-29_marine_group",Inf,TRUE,TRUE,TRUE,TRUE
"143"," g__IMCC26256",41,FALSE,FALSE,FALSE,FALSE
"144"," g__Iamia",Inf,TRUE,TRUE,TRUE,TRUE
"145"," f__Microtrichaceae",Inf,TRUE,TRUE,TRUE,TRUE
"146"," f__Ilumatobacteraceae",Inf,TRUE,TRUE,TRUE,TRUE
"147"," c__Acidimicrobiia",67,FALSE,FALSE,FALSE,FALSE
"148"," f__Microbacteriaceae",144,FALSE,TRUE,TRUE,TRUE
"149"," g__Acidothermus",67,FALSE,FALSE,FALSE,FALSE
"150"," g__Mycobacterium",60,FALSE,FALSE,FALSE,FALSE
"151"," g__Dactylosporangium",Inf,TRUE,TRUE,TRUE,TRUE
"152"," g__Actinospica",61,FALSE,FALSE,FALSE,FALSE
"153"," g__Jatrophihabitans",Inf,TRUE,TRUE,TRUE,TRUE
"154"," g__Streptacidiphilus",Inf,TRUE,TRUE,TRUE,TRUE
