"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"149"," f__Isosphaeraceae",1,FALSE,FALSE,FALSE,FALSE
"150"," g__Tundrisphaera",6,FALSE,FALSE,FALSE,FALSE
"151"," f__Gimesiaceae",4,FALSE,FALSE,FALSE,FALSE
"152"," o__Planctomycetales",0,FALSE,FALSE,FALSE,FALSE
"153"," g__Schlesneria",1,FALSE,FALSE,FALSE,FALSE
"154"," g__Sumerlaea",Inf,TRUE,TRUE,TRUE,TRUE
"155"," g__FCPU426",2,FALSE,FALSE,FALSE,FALSE
"156"," g__Subgroup_10",Inf,TRUE,TRUE,TRUE,TRUE
"157"," g__Subgroup_7",Inf,TRUE,TRUE,TRUE,TRUE
"158"," g__11-24",Inf,TRUE,TRUE,TRUE,TRUE
"159"," g__JGI_0001001-H03",Inf,TRUE,TRUE,TRUE,TRUE
"160"," g__Bryobacter",8,FALSE,FALSE,FALSE,FALSE
"161"," g__Paludibaculum",Inf,TRUE,TRUE,TRUE,TRUE
"162"," g__Candidatus_Solibacter",28,FALSE,FALSE,FALSE,FALSE
"163"," g__Vicinamibacteraceae",Inf,TRUE,TRUE,TRUE,TRUE
"164"," g__Subgroup_13",4,FALSE,FALSE,FALSE,FALSE
"165"," g__Subgroup_12",3,FALSE,FALSE,FALSE,FALSE
"166"," g__Subgroup_2",22,FALSE,FALSE,FALSE,FALSE
"167"," g__Candidatus_Koribacter",2,FALSE,FALSE,FALSE,FALSE
"168"," o__Acidobacteriales",23,FALSE,FALSE,FALSE,FALSE
"169"," g__Edaphobacter",0,FALSE,FALSE,FALSE,FALSE
"170"," g__Granulicella",11,FALSE,FALSE,FALSE,FALSE
"171"," g__Acidipila",3,FALSE,FALSE,FALSE,FALSE
"172"," g__Acidicapsa",24,FALSE,FALSE,FALSE,FALSE
"173"," f__Acidobacteriaceae_(Subgroup_1)",3,FALSE,FALSE,FALSE,FALSE
"174"," g__Occallatibacter",4,FALSE,FALSE,FALSE,FALSE
"175"," o__Vicinamibacterales",0,FALSE,FALSE,FALSE,FALSE
"176"," g__Subgroup_5",10,FALSE,FALSE,FALSE,FALSE
"177"," g__Kapabacteriales",64,FALSE,FALSE,FALSE,FALSE
"178"," f__Gemmatimonadaceae",7,FALSE,FALSE,FALSE,FALSE
"179"," g__Roseisolibacter",3,FALSE,FALSE,FALSE,FALSE
"180"," g__Gemmatimonas",0,FALSE,FALSE,FALSE,FALSE
"181"," g__OLB12",Inf,TRUE,TRUE,TRUE,TRUE
"182"," f__Microscillaceae",Inf,TRUE,TRUE,TRUE,TRUE
"183"," g__Chryseolinea",Inf,TRUE,TRUE,TRUE,TRUE
"184"," o__Cytophagales",Inf,TRUE,TRUE,TRUE,TRUE
"185"," g__Flavobacterium",Inf,TRUE,TRUE,TRUE,TRUE
"186"," g__env.OPS_17",108,FALSE,FALSE,TRUE,TRUE
"187"," o__Sphingobacteriales",Inf,TRUE,TRUE,TRUE,TRUE
"188"," g__KD3-93",Inf,TRUE,TRUE,TRUE,TRUE
"189"," g__CWT_CU03-E12",0,FALSE,FALSE,FALSE,FALSE
"190"," g__37-13",8,FALSE,FALSE,FALSE,FALSE
"191"," o__Chitinophagales",88,FALSE,FALSE,FALSE,FALSE
"192"," g__Terrimonas",Inf,TRUE,TRUE,TRUE,TRUE
"193"," g__Puia",5,FALSE,FALSE,FALSE,FALSE
"194"," g__Dinghuibacter",0,FALSE,FALSE,FALSE,FALSE
"195"," f__Chitinophagaceae",0,FALSE,FALSE,FALSE,FALSE
"196"," g__Heliimonas",Inf,TRUE,TRUE,TRUE,TRUE
"197"," g__Ferruginibacter",145,TRUE,TRUE,TRUE,TRUE
"198"," g__Edaphobaculum",9,FALSE,FALSE,FALSE,FALSE
"199"," f__Saprospiraceae",Inf,TRUE,TRUE,TRUE,TRUE
