,Upper Forest Floor,Lower Forest Floor,Upper B Horizon
 g__Actinospica,FALSE,FALSE,TRUE
 g__AD3,FALSE,FALSE,FALSE
 g__ADurb.Bin063-1,FALSE,FALSE,FALSE
 g__Afipia,TRUE,FALSE,FALSE
 g__AKIW781,TRUE,FALSE,FALSE
 g__AKYH767,FALSE,FALSE,FALSE
 g__Aliidongia,FALSE,FALSE,FALSE
 g__Alkanibacter,TRUE,TRUE,FALSE
 g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,TRUE,FALSE,FALSE
 g__Anaerolineae,FALSE,FALSE,FALSE
 g__Anaeromyxobacter,FALSE,FALSE,FALSE
 g__Aquicella,FALSE,FALSE,FALSE
 g__Aquisphaera,FALSE,FALSE,FALSE
 g__Arenimonas,TRUE,TRUE,FALSE
 g__Armatimonadales,FALSE,FALSE,FALSE
 g__Asticcacaulis,TRUE,FALSE,FALSE
 g__AT-s3-44,FALSE,FALSE,FALSE
 g__B1-7BS,FALSE,FALSE,TRUE
 g__B12-WMSP1,FALSE,FALSE,TRUE
 g__Babeliales,FALSE,FALSE,FALSE
 g__bacteriap25,FALSE,FALSE,TRUE
 g__Bauldia,TRUE,TRUE,FALSE
 g__BD7-11,FALSE,FALSE,FALSE
 g__Bdellovibrio,FALSE,FALSE,FALSE
 g__Berkelbacteria,TRUE,FALSE,FALSE
 g__BIrii41,TRUE,TRUE,FALSE
 g__BIyi10,TRUE,FALSE,FALSE
 g__Blfdi19,TRUE,FALSE,TRUE
 g__Bradyrhizobium,FALSE,FALSE,FALSE
 g__Brevundimonas,TRUE,FALSE,FALSE
 g__Bryobacter,FALSE,FALSE,FALSE
 g__Burkholderia-Caballeronia-Paraburkholderia,FALSE,FALSE,FALSE
 g__C0119,TRUE,FALSE,TRUE
 g__Candidatus_Berkiella,FALSE,FALSE,TRUE
 g__Candidatus_Captivus,FALSE,FALSE,FALSE
 g__Candidatus_Endonucleariobacter,TRUE,FALSE,FALSE
 g__Candidatus_Finniella,TRUE,FALSE,FALSE
 g__Candidatus_Koribacter,FALSE,FALSE,FALSE
 g__Candidatus_Nitrosotalea,FALSE,FALSE,TRUE
 g__Candidatus_Obscuribacter,FALSE,FALSE,FALSE
 g__Candidatus_Omnitrophus,FALSE,FALSE,TRUE
 g__Candidatus_Ovatusbacter,FALSE,FALSE,FALSE
 g__Candidatus_Paracaedibacter,FALSE,FALSE,FALSE
 g__Candidatus_Solibacter,FALSE,FALSE,FALSE
 g__Candidatus_Udaeobacter,FALSE,FALSE,FALSE
 g__Candidatus_Xiphinematobacter,FALSE,FALSE,FALSE
 g__Catenulispora,FALSE,FALSE,FALSE
 g__Caulobacter,FALSE,TRUE,FALSE
 g__CCD24,TRUE,FALSE,FALSE
 g__Cerasicoccus,TRUE,TRUE,FALSE
 g__Chitinimonas,FALSE,FALSE,FALSE
 g__Chryseolinea,TRUE,TRUE,FALSE
 g__Chthoniobacter,FALSE,FALSE,FALSE
 g__Chthonomonadales,TRUE,FALSE,FALSE
 g__Chthonomonas,FALSE,FALSE,FALSE
 g__Citrifermentans,FALSE,FALSE,TRUE
 g__CL500-29_marine_group,TRUE,TRUE,FALSE
 g__Cohnella,FALSE,FALSE,TRUE
 g__Conexibacter,FALSE,FALSE,TRUE
 g__Coxiella,FALSE,TRUE,FALSE
 g__CPla-3_termite_group,TRUE,FALSE,TRUE
 g__CWT_CU03-E12,FALSE,FALSE,FALSE
 g__Cytophaga,TRUE,TRUE,FALSE
 g__Dactylosporangium,TRUE,TRUE,FALSE
 g__Dadabacteriales,FALSE,FALSE,TRUE
 g__Desulfosporosinus,FALSE,FALSE,FALSE
 g__DEV008,TRUE,FALSE,FALSE
 g__Devosia,TRUE,TRUE,FALSE
 g__Dinghuibacter,FALSE,FALSE,FALSE
 g__Dokdonella,TRUE,FALSE,FALSE
 g__Dongia,TRUE,TRUE,FALSE
 g__Dyadobacter,TRUE,FALSE,FALSE
 g__Dyella,FALSE,FALSE,FALSE
 g__Edaphobacter,FALSE,FALSE,FALSE
 g__Edaphobaculum,FALSE,FALSE,FALSE
 g__Elev-1554,FALSE,FALSE,FALSE
 g__Elev-16S-1166,FALSE,FALSE,TRUE
 g__Ellin517,TRUE,TRUE,FALSE
 g__Ellin6067,TRUE,TRUE,FALSE
 g__Elusimicrobiota,FALSE,FALSE,FALSE
 g__Emticicia,TRUE,FALSE,FALSE
 g__Entotheonellaceae,FALSE,FALSE,FALSE
 g__env.OPS_17,FALSE,FALSE,FALSE
 g__Escherichia-Shigella,FALSE,TRUE,TRUE
 g__FCPS473,FALSE,FALSE,FALSE
 g__FCPU426,FALSE,FALSE,FALSE
 g__FCPU453,TRUE,FALSE,TRUE
 g__Ferruginibacter,FALSE,TRUE,TRUE
 g__FFCH9454,TRUE,TRUE,FALSE
 g__Fimbriiglobus,FALSE,FALSE,FALSE
 g__Fimbriimonadaceae,FALSE,FALSE,FALSE
 g__Fimbriimonas,TRUE,FALSE,FALSE
 g__Flavitalea,TRUE,FALSE,FALSE
 g__Flavobacterium,FALSE,TRUE,FALSE
 g__G12-WMSP1,FALSE,FALSE,FALSE
 g__Ga0077536,TRUE,FALSE,FALSE
 g__Gaiella,FALSE,FALSE,FALSE
 g__GAL15,TRUE,TRUE,FALSE
 g__Gemmata,FALSE,FALSE,FALSE
 g__Gemmatimonas,FALSE,FALSE,FALSE
 g__GOUTA6,TRUE,FALSE,TRUE
 g__Granulicella,FALSE,FALSE,FALSE
 g__Group_1.1c,FALSE,FALSE,FALSE
 g__Haliangium,TRUE,FALSE,FALSE
 g__Heliimonas,FALSE,TRUE,FALSE
 g__Hirschia,TRUE,TRUE,FALSE
 g__HSB_OF53-F07,FALSE,FALSE,FALSE
 g__Hydrogenedensaceae,TRUE,FALSE,FALSE
 g__Hyphomicrobium,TRUE,FALSE,FALSE
 g__Iamia,TRUE,FALSE,FALSE
 g__Ilumatobacter,TRUE,FALSE,FALSE
 g__IMCC26256,FALSE,FALSE,FALSE
 g__Inquilinus,FALSE,FALSE,FALSE
 g__IS-44,TRUE,TRUE,FALSE
 g__Jatrophihabitans,TRUE,FALSE,TRUE
 g__JG30-KF-AS9,FALSE,FALSE,FALSE
 g__JG30-KF-CM66,TRUE,FALSE,FALSE
 g__JG30a-KF-32,FALSE,FALSE,FALSE
 g__JG36-TzT-191,FALSE,FALSE,FALSE
 g__JGI_0001001-H03,TRUE,TRUE,TRUE
 g__Kapabacteriales,FALSE,FALSE,FALSE
 g__KD3-10,FALSE,FALSE,FALSE
