"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"218"," g__Kapabacteriales",10,FALSE,FALSE,FALSE,FALSE
"219"," f__Gemmatimonadaceae",0,FALSE,FALSE,FALSE,FALSE
"220"," g__Roseisolibacter",0,FALSE,FALSE,FALSE,FALSE
"221"," g__Gemmatimonas",0,FALSE,FALSE,FALSE,FALSE
"222"," f__Microscillaceae",0,FALSE,FALSE,FALSE,FALSE
"223"," g__env.OPS_17",7,FALSE,FALSE,FALSE,FALSE
"224"," g__KD3-93",Inf,TRUE,TRUE,TRUE,TRUE
"225"," g__CWT_CU03-E12",1,FALSE,FALSE,FALSE,FALSE
"226"," g__S15-21",Inf,TRUE,TRUE,TRUE,TRUE
"227"," g__37-13",0,FALSE,FALSE,FALSE,FALSE
"228"," o__Chitinophagales",Inf,TRUE,TRUE,TRUE,TRUE
"229"," g__Terrimonas",3,FALSE,FALSE,FALSE,FALSE
"230"," g__Puia",5,FALSE,FALSE,FALSE,FALSE
"231"," f__Chitinophagaceae",1,FALSE,FALSE,FALSE,FALSE
"232"," g__Sediminibacterium",Inf,TRUE,TRUE,TRUE,TRUE
"233"," g__Ferruginibacter",Inf,TRUE,TRUE,TRUE,TRUE
"234"," g__Edaphobaculum",0,FALSE,FALSE,FALSE,FALSE
"235"," c__Bacteroidia",Inf,TRUE,TRUE,TRUE,TRUE
"236"," g__KF-JG30-C25",100,FALSE,FALSE,FALSE,FALSE
"237"," g__WD260",9,FALSE,FALSE,FALSE,FALSE
"238"," f__Steroidobacteraceae",139,FALSE,FALSE,TRUE,TRUE
"239"," g__Steroidobacter",12,FALSE,FALSE,FALSE,FALSE
"240"," c__Gammaproteobacteria",24,FALSE,FALSE,FALSE,FALSE
"241"," g__Acidibacter",5,FALSE,FALSE,FALSE,FALSE
"242"," g__JG36-TzT-191",40,FALSE,FALSE,FALSE,FALSE
"243"," g__SC-I-84",2,FALSE,FALSE,FALSE,FALSE
"244"," g__Rhodanobacter",0,FALSE,FALSE,FALSE,FALSE
"245"," g__Dyella",0,FALSE,FALSE,FALSE,FALSE
"246"," f__Xanthomonadaceae",Inf,TRUE,TRUE,TRUE,TRUE
"247"," f__Solimonadaceae",32,FALSE,FALSE,FALSE,FALSE
"248"," g__Polycyclovorans",5,FALSE,FALSE,FALSE,FALSE
"249"," g__Nevskia",179,TRUE,TRUE,TRUE,TRUE
"250"," g__Candidatus_Berkiella",Inf,TRUE,TRUE,TRUE,TRUE
"251"," g__Candidatus_Ovatusbacter",75,FALSE,FALSE,FALSE,FALSE
"252"," g__Pseudomonas",3,FALSE,FALSE,FALSE,FALSE
"253"," g__Escherichia-Shigella",Inf,TRUE,TRUE,TRUE,TRUE
