feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.g__Acidicapsa	Treatment	 	-0.0385424287818451	0.00850769236157529	49	43	4.17009091358679e-05	0.000477516292849939
X.g__Roseiarcus	Treatment	 	-0.0313141699549246	0.00700834354974665	49	48	5.10749652062287e-05	0.000573611147700722
X.g__AKYH767	Treatment	 	0.0387114106464601	0.0087401153721665	49	28	5.79690591109165e-05	0.000638753406052363
X.g__CCD24	Treatment	 	0.0227187366513308	0.00514008802845191	49	14	5.97354419041869e-05	0.00064602774207491
X.g__Paludibaculum	Treatment	 	0.0368648658558305	0.00835217562893937	49	16	6.09302007015509e-05	0.000646967949267377
X.o__Chthoniobacterales	Treatment	 	-0.0205163989758849	0.00467530607365654	49	41	6.61875468983698e-05	0.000678132059449964
X.g__Kapabacteriales	Treatment	 	0.0255541150415846	0.00581852427988095	49	23	6.54193681513336e-05	0.000678132059449964
X.g__Variovorax	Treatment	 	0.0146057703112169	0.00339113481994982	49	12	8.60043585065472e-05	0.000865974920134889
X.o__Chitinophagales	Treatment	 	0.017640552642671	0.00412512452489134	49	32	9.49080061118176e-05	0.000923771259488358
X.g__Ferruginibacter	Treatment	 	0.0526612540464819	0.0123002290082487	49	42	9.34114733127181e-05	0.000923771259488358
X.g__possible_genus_04	Treatment	 	0.0235775492487353	0.00552266815485006	49	13	9.71048949111757e-05	0.000929659977510272
X.g__Subgroup_17	Time_Point	Summer	0.0166590296343509	0.00393274481761961	49	15	0.000108010875077545	0.00101739275879494
X.g__TRA3.20	Treatment	 	0.0239155460683113	0.00570041341858449	49	35	0.000122942473359961	0.00113965721336853
X.g__Massilia	Treatment	 	0.0116396634231224	0.0027817017342676	49	12	0.000127340354413317	0.00116198073402151
X.f__Sphingomonadaceae	Treatment	 	0.0192340657097214	0.00461573619857774	49	13	0.000134544927742841	0.00120883442772029
X.g__NS11.12_marine_group	Treatment	 	0.00954521674205477	0.00229786768804981	49	11	0.000140269242481283	0.00124117026680408
X.g__Caulobacter	Time_Point	Summer	0.0254045287072175	0.00623172706623086	49	25	0.000179128140432955	0.00156135573153501
X.g__SM1A02	Treatment	 	0.0178439395930081	0.00439958939437394	49	13	0.000191269155843442	0.00164266451489074
X.f__Chitinophagaceae	Treatment	 	0.0401849098756241	0.00995724352941719	49	41	0.000203725843772594	0.00172428830091587
X.g__BIrii41	Time_Point	Summer	0.025578649630112	0.00642361240527303	49	19	0.000241097588094499	0.00201144273495982
X.g__Edaphobaculum	Treatment	 	0.021972885984736	0.00553683008738107	49	47	0.000251457965048022	0.00206833030405697
X.g__Escherichia.Shigella	Treatment	 	-0.0134450153487566	0.00340961005085719	49	12	0.000272019515368623	0.0022063805135455
X.g__Hyphomicrobium	Treatment	 	0.020456474365541	0.00521838217460463	49	12	0.000292351820666308	0.00233881456533047
X.f__Microscillaceae	Time_Point	Summer	0.0671031476504294	0.0171425951780731	49	26	0.000297541888864781	0.00234816842023017
X.g__Ellin517	Treatment	 	0.02858882993213	0.0073220475775248	49	14	0.000306842006743518	0.00238927642584286
X.f__Rhizobiaceae	Treatment	 	0.0131320122694531	0.00338364829357542	49	11	0.000329961103706072	0.00253549058637297
X.f__Diplorickettsiaceae	Time_Point	Summer	-0.0219095550817867	0.00569716383052321	49	45	0.000367970981770147	0.0027908448487502
X.g__Acidisoma	Treatment	 	-0.0201410395868436	0.0052816236793192	49	23	0.000406368884604814	0.0030040434001166
X.g__Chryseolinea	Treatment	 	0.0215250209941735	0.00564082604909767	49	12	0.000403241867947459	0.0030040434001166
X.g__DEV008	Treatment	 	0.0155358557081967	0.0040852187637905	49	11	0.000419640387448381	0.00306337482837318
