"","Treatment W","NA.x","Treatment q","Taxa.y","NA.y","NA.y.1","Treatment p","Taxa","NA","NA.1"
"ASV290",-1.3297213506132,1.30085063165368,1,1,1," g__Pseudotomentella",0.183610097555238,0.930161702702716,0.193309587246525," g__Pseudotomentella"
"ASV336",-3.98542867086177,0.629157960463837,0.0169743193479727,1,1," g__Tomentella",6.73584101110029e-05,0.672771967719655,0.529245648119319," g__Tomentella"
"ASV407",1.30602914692771,-0.83720864517719,1,1,1," g__Xanthoconium",0.191542645819722,0.543908106596353,0.402475298865766," g__Xanthoconium"
"ASV423",1.80396398209217,-1.07980968497108,1,1,1," g__Xerocomus",0.071236953528235,0.481392456367352,0.280226937501357," g__Xerocomus"
"ASV44",-0.261596238287039,0.12771693267453,1,1,1," g__Clavaria",0.793632744467877,0.687705925835898,0.8983729894986," g__Clavaria"
"ASV932",1.48304542664735,-0.555961585857879,1,1,1," g__Hirsutella",0.138062341901378,0.20486079643738,0.578237115563743," g__Hirsutella"
